idx,ant_x,ant_y,ball_x,ball_y,ant_ball_dist,ball_speed_xy,ball_speed_full,next_ball_move,speed_gain,action_norm
24179,16.516092,17.69906,16.718824,16.744791,0.97556674,4.097471e-19,2.6702767e-13,0.371353,6.987524,2.6579502
60328,10.676394,7.6698217,11.30255,6.8145866,1.059952,0.34425274,0.63383192,0.43047076,6.3685536,2.5531821
75426,18.826696,14.83327,18.947618,13.956418,0.88515067,1.9095935e-06,0.00017647124,0.39922345,6.2200179,2.6094618
719730,10.296942,17.15403,10.295025,16.227615,0.92641652,1.6242802e-15,1.0736826e-09,0.3722668,6.1525512,2.4451144
339966,15.46332,18.906433,15.603021,17.989656,0.92735958,2.8428525e-19,4.1991483e-11,0.25420368,6.1116085,2.6715772
204103,9.6924019,13.696302,10.500689,13.011232,1.059551,1.6607839e-19,6.562468e-12,0.43912983,6.0288649,2.47945
990307,9.0306473,17.983604,9.5613985,17.193205,0.95206529,1.4984973e-19,4.773225e-13,0.26638278,5.9968185,2.5034389
401091,15.646049,10.015199,15.524295,8.9255342,1.0964454,4.6432191e-10,3.0006895e-06,0.23592345,5.9660125,2.4617963
164601,5.3185611,11.095922,6.0836058,10.547544,0.94128197,7.7323958e-20,3.5094701e-16,0.30230352,5.9478583,2.6490061
428977,3.1530454,15.559481,4.2363663,15.639748,1.0862905,2.2860243e-09,7.3251413e-06,0.34232423,5.9269958,2.6278224
747542,12.094687,15.852089,12.899028,15.45357,0.89765364,7.1204959e-06,0.00019881474,0.34735855,5.9197078,2.6685493
436036,12.757186,16.296865,13.097974,15.403139,0.95649523,2.8916301e-12,9.4940667e-08,0.3393153,5.859211,2.4070599
80117,14.339206,18.87538,14.127065,17.780867,1.1148822,0.28242868,0.5998652,0.36419204,5.8310475,2.5671167
900312,19.315462,6.5490685,19.229717,5.6222787,0.93074781,2.2122853e-12,2.3005894e-07,0.41179898,5.8153081,2.4728394
337102,14.390802,16.430294,14.533648,15.583581,0.85867804,0.56711644,0.97265846,0.44809783,5.6578526,2.5471811
326454,19.742533,12.718824,20.311035,12.134853,0.81499517,0.39804068,0.77445996,0.33552942,5.6315899,2.5884202
568689,12.476898,0.94839799,12.370047,-0.018433334,0.97271788,3.0958333e-19,3.4423623e-16,0.32765585,5.6136079,2.4417522
52077,0.070488244,19.21653,0.98729777,18.956661,0.95292783,1.9938402e-07,5.9401758e-05,0.25389323,5.5367393,2.5721753
995399,-0.1503654,17.947546,1.0929066,17.993851,1.2441339,1.8006654e-19,2.0480862e-11,0.30777326,5.4894586,2.6653161
829350,19.935837,19.280733,21.076902,19.29814,1.1411984,2.0820273e-05,0.00017785661,0.35744134,5.4438419,2.6215446
467754,8.0473042,19.625734,8.7804413,18.860439,1.0597955,5.8374662e-05,0.0012640827,0.21575432,5.4087982,2.5870047
263420,6.5504313,9.598978,7.6586747,9.3269291,1.1411459,1.0427246e-18,1.5794993e-10,0.32526246,5.3912668,2.4508371
678699,10.846799,7.1055202,11.923371,6.6231432,1.1797016,5.2097195e-19,3.5082403e-16,0.26316729,5.3899059,2.6703882
228151,7.9085832,16.239523,8.9404669,16.474125,1.0582165,0.72513711,1.2144816,0.47879678,5.3850794,2.5060563
858210,9.5038109,5.1038585,10.481541,4.4180999,1.1942447,6.7414424e-19,3.4432371e-16,0.32356995,5.383925,2.715817
569063,3.8707559,18.35055,5.0046406,18.362595,1.1339487,0.59252185,1.0199208,0.44246307,5.3623676,2.5617561
977912,19.706863,12.372272,20.624979,11.819384,1.0717375,2.7401395e-05,0.00043953347,0.25954008,5.3563972,2.7149742
825525,3.8904834,16.292173,4.5199599,15.563724,0.96274602,5.8464928e-05,0.00094820996,0.30560398,5.3479953,2.3755567
953587,16.563015,18.341003,17.11672,17.392317,1.0984515,3.4667772e-07,0.00011353884,0.31130931,5.3383422,2.5149698
967028,11.729657,19.457766,12.584723,19.07856,0.9353798,1.4174797e-09,8.7915396e-07,0.27324268,5.3270326,2.2908497
788968,11.013047,19.122105,12.034575,18.635275,1.131602,0.34746483,0.76945347,0.4234747,5.3155627,2.3594332
296009,11.552388,11.142065,12.076613,10.032228,1.2274157,4.3372594e-10,1.1017071e-06,0.36172178,5.3088884,2.506145
904120,4.353003,16.050957,5.1988921,16.152988,0.85202044,3.0254355e-06,0.00014991767,0.27339664,5.3042822,2.4466391
213940,6.2597547,11.803622,6.7945123,10.939337,1.016344,2.3749842e-19,3.513084e-16,0.33024645,5.3030043,2.6926959
258004,3.3884151,5.3353982,3.7714086,4.231709,1.1682525,5.0544659e-19,5.461321e-11,0.32596457,5.2970405,2.7578351
31983,10.917652,4.1285725,11.056354,2.9909616,1.1460352,0.013924649,0.01872113,0.2433926,5.282639,2.5352736
608742,8.9724703,5.8722258,9.5921144,4.8033333,1.235512,0.31886035,0.74348366,0.3807188,5.2824936,2.5499921
870176,20.654749,9.6592827,21.681334,9.3086491,1.0848134,6.4269499e-19,3.241899e-14,0.29907992,5.2818804,2.5618277
937886,15.861085,4.3945546,16.676399,3.6250484,1.1211053,3.3445115e-19,1.6022858e-14,0.21331193,5.2799072,2.5765967
